# Source: GeoNames JP dump (https://download.geonames.org/export/dump/JP.zip)
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# Columns: display_name	lat	lon	feature_code	population	search_terms
Adaniya (Okinawa)	26.29571	127.78874	PPL	0	adaniya|安谷屋|okinawa|おきなわ|おきなわけん|オキナワ|オキナワケン|冲绳县|沖縄|沖縄県|沖繩縣|おきなわ安谷屋|おきなわけん安谷屋|オキナワ安谷屋|オキナワケン安谷屋|冲绳县安谷屋|沖縄安谷屋|沖縄県安谷屋|沖繩縣安谷屋
Ado (Wakayama)	33.95625	135.11333	PPL	0	ado|wakayama|わかやま|わかやまけん|ワカヤマ|ワカヤマケン|和歌山|和歌山县|和歌山県|和歌山縣
Ae (Fukuoka Prefecture)	33.56557	130.643	PPL	0	ae|阿恵|fukuokaprefecture|ふくおかけん|福冈县|福岡|福岡県|福岡縣|ふくおかけん阿恵|福冈县阿恵|福岡阿恵|福岡県阿恵|福岡縣阿恵
Afun (Hokkaido)	43.89387	141.60446	PPL	0	afun|阿分|hokkaido|ほっかいどう|ホッカイドウ|北海|北海道|ほっかいどう阿分|ホッカイドウ阿分|北海阿分|北海道阿分
Afuso (Okinawa)	26.4969	127.89277	PPL	0	afuso|安富祖|okinawa|おきなわ|おきなわけん|オキナワ|オキナワケン|冲绳县|沖縄|沖縄県|沖繩縣|おきなわ安富祖|おきなわけん安富祖|オキナワ安富祖|オキナワケン安富祖|冲绳县安富祖|沖縄安富祖|沖縄県安富祖|沖繩縣安富祖
Aga (Tottori)	35.35	133.33333	PPL	0	aga|阿賀|tottori|とっとり|とっとりけん|トットリ|トットリケン|鳥取|鳥取県|鳥取縣|鸟取县|とっとり阿賀|とっとりけん阿賀|トットリ阿賀|トットリケン阿賀|鳥取阿賀|鳥取県阿賀|鳥取縣阿賀|鸟取县阿賀
Aga Machi (Niigata-ken)	37.66504	139.46411	ADM3	12868	agamachi|あかまち|アガマチ|阿賀町|niigataken|にいかたけん|新潟|新潟县|新潟県|新潟縣|にいかたけんあかまち|にいかたけんアガマチ|にいかたけん阿賀町|新潟あかまち|新潟アガマチ|新潟阿賀町|新潟县あかまち|新潟县アガマチ|新潟县阿賀町|新潟県あかまち|新潟県アガマチ|新潟県阿賀町|新潟縣あかまち|新潟縣アガマチ|新潟縣阿賀町
Aga-chūō (Hiroshima-ken)	34.23519	132.5976	PPL	0	agachūō|agachuo|阿賀中央|hiroshimaken|ひろしまけん|广岛县|広島|広島県|廣島縣|ひろしまけん阿賀中央|广岛县阿賀中央|広島阿賀中央|広島県阿賀中央|廣島縣阿賀中央
Agano (Fukuoka Prefecture)	33.71399	130.77973	PPL	0	agano|上野|fukuokaprefecture|ふくおかけん|福冈县|福岡|福岡県|福岡縣|ふくおかけん上野|福冈县上野|福岡上野|福岡県上野|福岡縣上野
Agano (Niigata-ken)	37.83605	139.22332	PPLA2	40696	agano|阿賀野|niigataken|にいかたけん|新潟|新潟县|新潟県|新潟縣|にいかたけん阿賀野|新潟阿賀野|新潟县阿賀野|新潟県阿賀野|新潟縣阿賀野
Agano (Niigata-ken)	37.77392	139.22192	PPLA2	0	agano|阿賀野|niigataken|にいかたけん|新潟|新潟县|新潟県|新潟縣|にいかたけん阿賀野|新潟阿賀野|新潟县阿賀野|新潟県阿賀野|新潟縣阿賀野
Agano Shi (Niigata-ken)	37.8142	139.25914	ADM2	45264	aganoshi|あかのし|アガノシ|阿賀野|阿賀野市|niigataken|にいかたけん|新潟|新潟县|新潟県|新潟縣|にいかたけんあかのし|にいかたけんアガノシ|にいかたけん阿賀野|にいかたけん阿賀野市|新潟あかのし|新潟アガノシ|新潟阿賀野|新潟阿賀野市|新潟县あかのし|新潟县アガノシ|新潟县阿賀野|新潟县阿賀野市|新潟県あかのし|新潟県アガノシ|新潟県阿賀野|新潟県阿賀野市|新潟縣あかのし|新潟縣アガノシ|新潟縣阿賀野|新潟縣阿賀野市
Agarie (Okinawa)	26.58361	127.98528	PPL	0	agarie|東江|okinawa|おきなわ|おきなわけん|オキナワ|オキナワケン|冲绳县|沖縄|沖縄県|沖繩縣|おきなわ東江|おきなわけん東江|オキナワ東江|オキナワケン東江|冲绳县東江|沖縄東江|沖縄県東江|沖繩縣東江
Agariemachi (Ishikawa-ken)	36.32061	136.48307	PPL	0	agariemachi|上り江町|ishikawaken|いしかわけん|石川|石川县|石川県|石川縣|いしかわけん上り江町|石川上り江町|石川县上り江町|石川県上り江町|石川縣上り江町
